job_title,company_name,company_locations,company_states,job_types,post_dates,salary,job_desc,job_req,skills,exp_lvl
Sales Development Executive,Netregy Systems Sdn Bhd,"26 & 28 Pusat Perdagangan One Puchong, Jalan OP 1/3 Off Jalan Puchong, 47160 Selangor, Malaysia",Selangor,Full-Time,,RM2800 - RM4500,"Our sales development executive are instrumental in driving the acquisition of new customers, retaining current ones, and devising innovative strategies to enhance our products and services. 
As a sales development executive, you will be responsible for cultivating positive, truthful, and professional relationships while promoting our brand. If you possess exceptional listening and communication skills, an outgoing personality, and are eager to contribute to our business goals, you would be an excellent addition to our team. Furthermore, you will be provided with state-of-the-art voice and video communication solutions.
As part of this job, you will be responsible for representing the company and securing new accounts, ","Candidate must possess at least a Diploma or a Bachelor's Degree, or a Professional Degree in any field. 
Proficient in English & Bahasa Malaysia, both spoken and written. 
Excellent communication skills, including a clear, confident speaking voice and a friendly rapport with customers.
Individual with patience, persistence, and perserverance quality.
Strong persuasiveness and good customer skills, relationship building, influencing and negotiating skills.
Organizing time, task and priorities in a fast-paced environment.
Fresh graduates are encouraged to apply. ","
Inside Sales
Outside Sales
Microsoft Office
Presentation 
Rapport Building
Data Analysis",#NoExperienceNeeded
Business Development Associate (Corporate Sales),Kravve.co,Sungai Besi,Kuala Lumpur,Full-Time,8 days ago,RM3000 - RM10000,"Candidates with zero experience are welcome to apply! [ Part of Hiredly's #ZeroHero Campaign - hiredly.com/zerohero ]

We are opening up an opportunity for business development professionals who want to be part of something bigger than yourself.

In this role, you will be bridging corporate demand to bring more stable income to our home-chefs.

If you find meaning in driving impact in your professional life, you are best suited for this role.

We are looking for candidates with more than 1 year of working experience in related field. However fresh graduates are encouraged to apply if you think you can make the cut.","1 year experience in related fields (PR, sales, business development, community management, event management, accounts management and others)
Fresh graduates are welcomed to apply if you have demonstrated the below qualities in your work outside of your studies.
You have experience in B2B sales. 
You have proven track record in closing sales.
You understand lead generation, cold calls, negotiation, presentation, sales pipeline, lead scoring, closing, any other skill-sets in between.
You are passionate about local food.
You are comfortable working and networking with external parties independently.","
Business Development
Negotiation
Presentations
Persuasive Communication
Organizational 
Lead Generation
Outbound Calls
Sales
Closing (Sales)
Multitasking",1 - 3 Years of Experience
Web Developer,Orangesoft,Sungai Besi LRT MRT,Kuala Lumpur,Full-Time,2 days ago,Undisclosed,"Are you able to design and develop websites for organisations / companies like the Securities Commission, Malaysia Digital Economy Corporation, Asian Football Confederation, Ajinomoto, BASF Petronas, Scicom, Willowglen, Glomac, Hitachi Sunway and more?

We are seeking an experienced and passionate Drupal Web Developer to join our innovative team. The ideal candidate will have a strong background in Drupal development and be well-versed in creating custom modules and themes. This role requires a commitment to delivering high-quality, user-friendly websites that meet our clients' objectives and exceed their expectations. If you are a creative problem-solver with exceptional technical skills, we encourage you to apply.","Bachelor's degree in Computer Science, Information Technology, or a related field, or equivalent experience.
Proficiency in PHP, HTML, CSS, JavaScript, and jQuery.
Understanding of responsive web design principles and best practices.
Knowledge of web accessibility guidelines and best practices (e.g., WCAG 2.0).
Excellent problem-solving and debugging skills.
Strong communication and collaboration abilities, with a commitment to delivering high-quality work.
Desirable (but not required) Skills:","
Web Development
Drupal
Content Management Systems
Interactive Web Development",#NoExperienceNeeded
Frontend Developer,Bukku,KL Eco City (Hybrid),Kuala Lumpur,Full-Time,2 days ago,RM6000 - RM9500,"Bukku is a well funded and fast growing software company running the most-loved cloud accounting software currently being used by thousands of SMEs in the country.

We're looking for the right candidate to help take our app to the next level, we want you to be proud of what you build here at Bukku Accounting!
Responsibilities
Develop new user-facing features and enhance existing features with React.","At least 2 years solid experience in modern frontend web development with JavaScript.
Solid experience in modern JavaScript frameworks / libraries, preferably React.
Good knowledge in HTML5, CSS3 and any modern CSS frameworks.
Highly analytical with strong logical thinking.
The perfect candidate:
Having a “think big, start small” mindset (You’re ambitious yet patient).
Having a growth mindset (You thrive on challenge and hungry for improvements).
Attention to detail (You can spot pixel difference with naked eyes).","
React.js
Git (Version Control System)
Test-Driven Development (TDD)
Python (Programming Language)
Cascading Style Sheets (CSS)
HyperText Markup Language (HTML)",2 - 5 Years of Experience
Backend Developer,Souffle Pancakes Sdn Bhd,Malaysia KL & Indonesia,Kuala Lumpur,Full-Time,24 days ago,RM6000 - RM12000," Responsibilities
Build scalable backend architecture and reusable code and libraries for future use
Optimization of the application and its services for maximum speed and scalability
Implementation of security and data protection
Collaborate with frontend developers to integrate user facing elements with server side logic
Gather, research and address technical and design requirements
Collaborate with testers, frontend, devops, and any other necessary people"," Requirements
Git expert
Expert builder/maintainer of restful and restless APIs and microservices 
Javascript expert (more than 3 years of experience) - Node.js, Mongo DB, Nest.js, or mern stack.
More than 3 years of experience with SDLC","
Application Programming Interface (API)
Node.js
JavaScript (Programming Language)
TypeScript
MongoDB
Git (Version Control System)
Microservices",3 - 8 Years of Experience
R&D DEVELOPER,GEM REWARD SDN BHD,"NO.29, JALAN PPU 2A, TAMAN PERINDUSTRIAN PUSAT BANDAR PUCHONG, 47100 PUCHONG, SELANGOR.",Selangor,Full-Time,a month ago,RM5000 - RM7000,"   Recommend appropriate and optimal technical solutions in the conceptualization, design, and implementation of application systems that enable and support business functions.
Design and develop base framework. 
Recommend and evaluate detailed design of system components to ensure reusability and flexibility is practiced, where applicable.
Enforce standardization and tight integration with existing systems and solutions in the organization.
Develop, maintain and review technical standards, policies, guidelines and best practices for application development, application enhancements and IT projects to uphold quality of IT systems and applications.","   Bachelor's Degree/Post-Graduate Diploma/Professional Degree in Computer Science/Information Technology or equivalent.
At least 2 Year(s) of working experience in the related field is required for this position.
Required Skill(s): PHP Framework (Laravel), jQuery, JSON, Ajax, MYSQL is a MUST.
Experience with SOAP, JSON, XML and REST, Version Control System such as Git or BitBucket.
Good knowledge of MVC development methodologies and OOP concepts.
Working knowledge in Apache, Linux, Ubuntu, Nginx.","
PHP Frameworks
Laravel
JQuery
JSON
Ajax (Programming Language)
MySQL",4 - 7 Years of Experience
Android Developer,Milner Browne / Enterpryze,Axiata Tower,Kuala Lumpur,Full-Time,a month ago,RM10000 - RM14000," The Role: 
This is the ideal role for a Software Engineer seeking professional development in an international environment.  
3+ years of real-world experience in building and maintaining Android applications is required 
Proven experience in using Android SDK and Kotlin & Java languages 
Experience with React Native 
Experience with Android frameworks such as Retrofit, Architecture Components, and Support Library ","The person: 
Positive “Can-do” attitude 
Proactive self-starter mentality  
Team-player 
Good energy & drive 
Ambitious & Driven ","
Kotlin
Java (Programming Language)
React Native
Android Applications
Test Automation
Retrofitting",4 - 7 Years of Experience
JavaScript Developer,SWIFT HAULAGE BERHAD,Klang,Selangor,Full-Time,,Undisclosed,"The software developer will be developing one of many novel, intelligent, user friendly, task focused applications that will change the way the logistics industry works. The developer will apply modern development tools and environment with powerful statistical analysis tools to predict demand, streamline truck movement operations and optimize movement.
SWIFT uses cutting-edge development technologies and techniques for a productive and highly scalable development environment. We use the tools from NodeJS, Fastify, GraphQL's Apollo Federated micro services, with persistence layers ranging from MongoDB, Postgre, Redis for our back-end. In our mobile apps (React Native), as well as the latest react v17.0.2 for the front end and deployed to the several cloud services such as GCP and AWS using Kubernetes with Docker to name a few technologies.","What do you need to have successful in this role?
·     At least 3 year(s) of working experience In Java Script development (either client (REACTJS) or server-side (Node.js);
·    Must have skills: HTML/CSS web development is a requirement;
·    Experience working in logistics/transport environment is an extra advantage;
·    Experience using version control, agile project management or software testing is a plus;","
JavaScript (Programming Language)
React.js
Node.js
HyperText Markup Language (HTML)
Cascading Style Sheets (CSS)
CSS Codes",#NoExperienceNeeded
Full Stack Developer,Fatfish Group Limited,"Betterpay, KL Eco City",Kuala Lumpur,Full-Time,14 days ago,RM3500 - RM5700,"As a Full Stack Developer, you will be responsible for designing, developing, and maintaining a full-stack web application. 
You should have in-depth knowledge and hands-on experience in Laravel, HTML, CSS framework (Bootstrap or Tailwind or Bulma), Javascript (Vanilla or JQuery) and MySql. 
You should also have experience in building Microservices and using UNIX commands or Linux based OS (Ubuntu, CentOS).

Design, develop and maintain a full-stack web application
Develop and implement microservices
Work with UNIX command or Linux based OS (Ubuntu, CentOS)"," Proven experience as a Full Stack Developer (3-4 years experience)
Proficient in Laravel, HTML, CSS framework (Bootstrap or Tailwind or Bulma), Javascript (Vanilla or JQuery) and MySql
In-depth knowledge of building microservices
Experience with complete SDLC and agile methodology
Familiarity with modern frontend frameworks such as React, Vue, Angular
Experience in building native mobile app using Flutter
Experience setting up production environment using cloud infrastructure such as AWS, Digital Ocean",,#NoExperienceNeeded
Business Development Assosciate,ANTBUILDZ PTE LTD,Kuala Lumpur / Mid Valley,Kuala Lumpur,Full-Time,a day ago,RM3500 - RM5000,"What we seek from you

Antbuildz.com is looking for a passionate candidate with an entrepreneurial spirit to join us as Business Development Associate. This is a crucial contributor role that will work closely with Co-Founding team to scale the idea. This role will shape you into an all-rounded Entrepreneurial hustler role.

Responsibilities","Highly passionate about start-up culture and technology.
High energy, organized, independent, and a fast learner.
Possess an elevated level of curiosity and the desire to unpack and understand problem statements- big or small.
Self-motivated and able to work autonomously in a dynamic environment with minimal instruction.
Excellent communication and writing & presentation skills.
Welcome fresh graduates with relevant qualifications from an accredited university.",,4 - 7 Years of Experience
